Uid,Owner uid,FirstName,Lastname,Email,Address uid,PhoneNumber,CompanyName,Status name,Lead Source uid,Channel uid,Customer uid
1,main,Ramona,Venters,RamonaCVenters@gustr.com,1,517-782-7343,Sure Save,new,1,1,1
2,main,Beverly,Linton,BeverlyDLinton@superrito.com,2,808-572-3324,Handy Andy Home Improvement Center,new,2,1,2
3,main,Aisha,Lechuga,AishaELechuga@dayrep.com,3,410-794-7279,Avant Garde Interior Designs,new,1,1,3
4,main,Clarence,Golden,ClarenceNGolden@armyspy.com,4,518-441-4708,H.C. Bohack,new,,,4
5,main,Stanley,Lyons,StanleyGLyons@armyspy.com,5,804-477-5590,Monk House Sales,new,,,5
6,main,Leonida,Dixon,LeonidaMDixon@einrot.com,6,707-348-9487,Life's Gold,new,,,6
7,main,Lola,Hall,LolaJHall@einrot.com,7,707-947-4901,Leo's Stereo,new,,,7
8,main,Darlene,Ramos,DarleneVRamos@armyspy.com,8,912-342-9593,Modern Architecture Design,new,,,8
9,main,Jerry,Martin,JerryNMartin@dayrep.com,9,928-862-3347,Allied Radio,new,,,9
10,main,Michael,Williams,MichaelMWilliams@cuvox.de,10,608-743-3485,Ruehl No. 925,new,,,10
11,main,Marshall,Tacker,MarshallMTacker@armyspy.com,11,979-234-6303,Ole's,new,,,11
12,main,Phillip,Baker,PhillipABaker@armyspy.com,12,845-508-9364,Gov Mart,new,,,12
13,main,David,Stringham,DavidRStringham@armyspy.com,13,330-668-8830,Casa Bonita,new,,,13
14,main,Aubrey,Tingley,AubreyHTingley@cuvox.de,14,308-366-0524,Piccolo Mondo,new,,,14
15,main,Alejandrina,Ayer,AlejandrinaHAyer@teleworm.us,15,410-313-0414,Harvest Foods,new,,,15
16,main,John,Wright,JohnJWright@einrot.com,16,610-826-6577,Musicland,new,,,16
17,main,Saundra,Hoots,SaundraVHoots@cuvox.de,17,860-677-3172,Monsource,new,,,17
18,main,Avery,Viers,AveryDViers@dayrep.com,18,740-597-5172,Formula Gray,new,,,18
19,main,Kelly,Feinstein,KellyLFeinstein@teleworm.us,19,650-733-4527,Super Shops,new,,,19
20,main,Connie,Huang,ConnieJHuang@einrot.com,20,615-578-0662,Brendle's,new,,,20
21,main,Ron,Bennett,RonLBennett@gustr.com,21,678-557-7183,Alexander's,new,,,21
22,main,Glenn,Poole,GlennCPoole@cuvox.de,22,770-992-5718,Isaly's,new,,,22
23,main,Kenneth,Fowler,KennethMFowler@dayrep.com,23,978-423-5919,Gamma Gas,new,,,23
24,main,George,Moreno,GeorgeJMoreno@cuvox.de,24,646-602-2074,County Market,new,,,24
25,main,Chris,Heavener,ChrisJHeavener@superrito.com,25,906-774-7957,Cherry & Webb,new,,,25
26,main,Mei,Bell,MeiFBell@armyspy.com,26,610-453-4749,Mansmann's Department Store,new,,,26
27,main,Joy,Avey,JoyRAvey@gustr.com,27,469-446-1959,Weenie Beenie,new,,,27
28,main,Sam,Jacobson,SamKJacobson@cuvox.de,28,507-263-9822,Allied Radio,new,,,28
29,main,Scotty,Williams,ScottyTWilliams@armyspy.com,29,315-791-1273,Harmony House,new,,,29
30,main,Paul,Williams,PaulMWilliams@armyspy.com,30,786-217-4707,Fireball,new,,,30
31,main,Angela,Sullivan,AngelaRSullivan@dayrep.com,31,919-628-3623,Master Builder Design Services,new,,,31
32,main,Gerald,Dickson,GeraldMDickson@dayrep.com,32,919-918-1714,Kent's,new,,,32
33,main,James,Landers,JamesPLanders@armyspy.com,33,910-770-9457,Casa Bonita,new,,,33
34,main,Joe,Hale,JoeLHale@teleworm.us,34,708-326-3396,Formula Grey,new,,,34
35,main,Faye,Church,FayeRChurch@einrot.com,35,252-200-2298,Service Merchandise,new,,,35
36,main,Michael,Johnson,MichaelNJohnson@teleworm.us,36,217-401-8159,Showbiz Pizza Place,new,,,36
37,main,Elaine,Parham,ElaineWParham@teleworm.us,37,517-677-0691,Boston Sea Party,new,,,37
38,main,Lettie,Rainville,LettieJRainville@superrito.com,38,985-509-3817,MVP Sports,new,,,38
