Uid,Website uid,Name,Value,User_identifier,Url,Title,Code
1,1,visit,1, id=guest; visitor-id=90,http://b2b-oro.com/,Home page,google
2,1,visit,1, id=guest; visitor-id=90,http://b2b-oro.com/banner/,Banner Click,google
3,1,commerce,1, id=119; email=fffff@fff.com; visitor-id=90,http://b2b-oro.com/commerce/,B2B Commerce,abc
4,1,visit,1, id=guest; visitor-id=90,http://b2b-oro.com/,Home,google
5,1,visit,1, id=guest; visitor-id=90,http://b2b-oro.com/login,Login,email
6,1,commerce,1, id=119; email=fffff@fff.com; visitor-id=90,http://b2b-oro.com/commerce/,B2B Commerce,abc
7,1,visit,1, id=guest; visitor-id=90,http://b2b-oro.com/,Home,google
8,1,login,1, id=guest; visitor-id=90,http://b2b-oro.com/login,Login,email
9,1,visit,1, id=guest; visitor-id=87,http://b2b-oro.com/commerce/,B2B Commerce,abc
10,1,visit,1, id=guest; visitor-id=85,http://b2b-oro.com/,Home page,google
11,1,visit,1, id=guest; visitor-id=87,http://b2b-oro.com/,Home page,google
12,1,visit,1, id=guest; visitor-id=88,http://b2b-oro.com/,Home page,google
13,1,visit,1, id=guest; visitor-id=88,http://b2b-oro.com/,Home,google
14,1,visit,1, id=guest; visitor-id=88,http://b2b-oro.com/registration,Registration,abc
15,1,visit,1, id=guest; visitor-id=88,http://b2b-oro.com/registration,Registration,abc
16,1,visit,1, id=guest; visitor-id=87,http://b2b-oro.com/,Home,google
17,1,visit,1, id=guest; visitor-id=88,http://b2b-oro.com/registration,Registration,abc
18,1,visit,1, id=guest; visitor-id=87,http://b2b-oro.com/registration,Registration,abc
19,1,visit,1, id=guest; visitor-id=88,http://b2b-oro.com/,Home,google
20,1,visit,1, id=guest; visitor-id=87,http://b2b-oro.com/registration,Registration,abc
21,1,visit,1, id=guest; visitor-id=88,http://b2b-oro.com/banner/,Banner Click,google
22,1,banner click,1, id=guest; visitor-id=88,http://b2b-oro.com/banner/,Banner Click,google
23,1,login,1, id=guest; visitor-id=88,http://b2b-oro.com/login,Login,email
24,1,visit,1, id=guest; visitor-id=90,http://b2b-oro.com/registration,Registration,abc
25,1,visit,1, id=119; email=fffff@fff.com; visitor-id=90,http://b2b-oro.com/commerce/,B2B Commerce,abc
26,1,visit,1, id=guest; visitor-id=85,http://b2b-oro.com/,Home page,google
27,1,visit,1, id=guest; visitor-id=85,http://b2b-oro.com/registration,Registration,abc
28,1,visit,1, id=guest; visitor-id=85,http://b2b-oro.com/registration,Registration,abc
29,1,visit,1, id=guest; visitor-id=85,http://b2b-oro.com/registration,Registration,abc
30,1,visit,1, id=guest; visitor-id=85,http://b2b-oro.com/registration,Registration,abc
31,1,visit,1, id=guest; visitor-id=85,http://b2b-oro.com/registration,Registration,abc
32,1,banner click,1, id=guest; visitor-id=85,http://b2b-oro.com/banner/,Banner Click,google
33,1,visit,1, id=guest; visitor-id=85,http://b2b-oro.com/banner/,Banner Click,google
34,1,login,1, id=guest; visitor-id=85,http://b2b-oro.com/login,Login,email
35,1,visit,1, id=guest; visitor-id=85,http://b2b-oro.com/login,Login,email
36,1,commerce,1, id=112; email=qasd@local.com; visitor-id=85,http://b2b-oro.com/commerce/,B2B Commerce,abc
37,1,commerce,1, id=112; email=qasd@local.com; visitor-id=85,http://b2b-oro.com/commerce/,B2B Commerce,abc
38,1,commerce,1, id=112; email=qasd@local.com; visitor-id=85,http://b2b-oro.com/commerce/,B2B Commerce,abc
39,1,visit,1, id=112; email=qasd@local.com; visitor-id=85,http://b2b-oro.com/commerce/,B2B Commerce,abc
40,1,visit,1, id=112; email=qasd@local.com; visitor-id=85,http://b2b-oro.com/,Home page,google
41,1,visit,1, id=112; email=qasd@local.com; visitor-id=85,http://b2b-oro.com/registration,Registration,abc
42,1,visit,1, id=112; email=qasd@local.com; visitor-id=85,http://b2b-oro.com/registration,Registration,google
43,1,visit,1, id=112; email=qasd@local.com; visitor-id=85,http://b2b-oro.com/registration,Registration,google
44,1,visit,1, id=112; email=qasd@local.com; visitor-id=85,http://b2b-oro.com/registration,Registration,google
