Uid,Dashboard uid,Widget,Position x,Position y
1,1,my_calendar,0,0
2,1,recent_calls,0,1
3,1,recent_emails,0,2
4,1,quick_launchpad,1,0
5,1,my_sales_flow_b2c_chart,1,1
6,1,my_contacts_activity,1,2
7,1,my_accounts_activity,1,3
8,2,my_calendar,0,0
9,2,opportunities_by_lead_source_chart,0,1
10,2,recent_emails,0,2
11,2,my_accounts_activity,0,3
12,2,recent_calls,0,4
13,2,my_contacts_activity,0,5
14,2,quick_launchpad,1,0
15,2,my_sales_flow_b2b_chart,1,1
16,2,campaigns_leads,1,2
17,2,campaigns_by_close_revenue,1,3
18,2,opportunities_by_state,1,4
19,2,campaigns_opportunity,1,5
