Uid,Website uid,Campaign uid,Coefficient,Name
1,1,1,1000,visit
2,1,1,300,order placed
3,1,1,100,registration
4,1,1,100,cart item added
5,1,1,100,user entered checkout
6,1,1,300,user logged in
7,1,2,1000,visit
8,1,2,300,order placed
9,1,2,100,registration
10,1,2,100,cart item added
11,1,2,100,user entered checkout
12,1,2,300,user logged in
13,1,3,1000,visit
14,1,3,300,order placed
15,1,3,100,registration
16,1,3,100,cart item added
17,1,3,100,user entered checkout
18,1,3,300,user logged in
19,1,4,1000,visit
20,1,4,300,order placed
21,1,4,100,registration
22,1,4,100,cart item added
23,1,4,100,user entered checkout
24,1,4,300,user logged in
25,1,5,1000,visit
26,1,5,300,order placed
27,1,5,100,registration
28,1,5,100,cart item added
29,1,5,100,user entered checkout
30,1,5,300,user logged in
31,1,6,1000,visit
32,1,6,300,order placed
33,1,6,100,registration
34,1,6,100,cart item added
35,1,6,100,user entered checkout
36,1,6,300,user logged in
