Uid,Website uid,Name,Value,User_identifier,Url,Title,Code
1,1, visit,1, id=guest; visitor-id=90, http://magento-oro.com/index.php?pk_campaign=second, Home page,home
2,1, visit,1, id=guest; visitor-id=90, http://magento-oro.com/checkout/cart/, Shopping Cart,cart
3,1, registration,1, id=119; email=fffff@fff.com; visitor-id=90, http://magento-oro.com/checkout/onepage/success/, Magento Commerce,commerce
4,1, visit,1, id=guest; visitor-id=90, http://magento-oro.com/sony-vaio-vgn-txn27n-b-11-1-notebook-pc.html," Sony VAIO VGN-TXN27N/B 11.1"" Notebook PC",product
5,1, visit,1, id=guest; visitor-id=90, http://magento-oro.com/checkout/onepage/, Checkout,checkout
6,1, order placed,1, id=119; email=fffff@fff.com; visitor-id=90, http://magento-oro.com/checkout/onepage/success/, Magento Commerce,commerce
7,1, visit,1, id=guest; visitor-id=90, http://magento-oro.com/electronics/cell-phones.html, Cell Phones - Electronics,product
8,1, user entered checkout,1, id=guest; visitor-id=90, http://magento-oro.com/checkout/onepage/, Checkout,checkout
9,1, visit,1, id=guest; visitor-id=87, http://magento-oro.com/customer/account/logoutSuccess/, Magento Commerce,commerce
10,1, visit,1, id=guest; visitor-id=85, http://magento-oro.com/, Home page,home
11,1, visit,1, id=guest; visitor-id=87, http://magento-oro.com/, Home page,home
12,1, visit,1, id=guest; visitor-id=88, http://magento-oro.com/, Home page,home
13,1, visit,1, id=guest; visitor-id=88, http://magento-oro.com/sony-vaio-vgn-txn27n-b-11-1-notebook-pc.html," Sony VAIO VGN-TXN27N/B 11.1""",product
14,1, visit,1, id=guest; visitor-id=88, http://magento-oro.com/electronics.html, Electronics,category
15,1, visit,1, id=guest; visitor-id=88, http://magento-oro.com/apparel.html, Apparel,category
16,1, visit,1, id=guest; visitor-id=87, http://magento-oro.com/sony-vaio-vgn-txn27n-b-11-1-notebook-pc.html," Sony VAIO VGN-TXN27N/B 11.1"" Notebook PC",product
17,1, visit,1, id=guest; visitor-id=88, http://magento-oro.com/apparel.html?cat=5, Apparel,category
18,1, visit,1, id=guest; visitor-id=87, http://magento-oro.com/electronics.html, Electronics,category
19,1, visit,1, id=guest; visitor-id=88, http://magento-oro.com/cn-clogs-beach-garden-clog.html, CN Clogs Beach/Garden Clog,product
20,1, visit,1, id=guest; visitor-id=87, http://magento-oro.com/apparel/shirts.html, Shirts - Apparel,category
21,1, visit,1, id=guest; visitor-id=88, http://magento-oro.com/checkout/cart/, Shopping Cart,cart
22,1, cart item added,1, id=guest; visitor-id=88, http://magento-oro.com/checkout/cart/, Shopping Cart,cart
