Uid,Organization uid,User uid,Company,Contact uid,Channel uid
1,2,main,Life Plan Counselling,70,1
2,2,main,Big D Supermarkets,71,1
3,2,main,Cherry & Webb,72,1
4,2,54,National Lumber,73,1
5,2,55,Rainbow Bay Crafts,74,1
6,2,56,Jewel Mart,75,1
7,2,57,Rickel,76,1
8,2,58,Joshua Doore,77,1
9,2,59,Liberty Wealth Planner,78,1
10,2,60,Lazysize,79,1
11,2,61,Super Shops,80,1
12,2,62,Kinney Shoes,81,1
13,2,63,Boston Sea Party,82,1
14,2,64,Chandler's,83,1
15,2,65,Boston Sea Party,84,1
16,2,66,Dreamscape Garden Care,85,1
17,2,67,Happy Bear Investment,86,1
18,2,68,Pleasures and Pasttimes,87,1
19,2,69,Record & Tape Outlet,88,1
20,2,70,King Carol,89,1
21,2,71,Independent Wealth Management,90,1
22,2,72,Lazysize,91,1
23,2,73,Titania,92,1
24,2,74,Rolling Thunder,93,1
25,2,75,Olympic Sports,94,1
26,2,76,Maxaprofit,95,1
27,2,77,Wellby,96,1
28,2,78,Price Club,97,1
29,2,79,Star Bright Investment Group,98,1
30,2,80,Muscle Factory,99,1
31,2,81,Gas Legion,100,1
32,2,82,Megatronic Plus,101,1
33,2,83,DGS HomeSource,102,1
34,2,84,Honest Air Group,103,1
35,2,85,Cloth World,104,1
36,2,86,DGS VolMAX,105,1
37,2,87,Big Bear Stores,106,1
38,2,88,David Weis,107,1
39,2,89,Erb Lumber,108,1
40,2,90,Geri's Hamburgers,109,1
