Uid,Organization uid,Integration uid,MailChimp Subscriber list uid,Email,Phone,Status,First_name,Last_name,Member_rating
1,1,1,1,JerryM@gmail.com,,1,Jerry,Miller,3
1,1,1,1,RoyRodgers@mail.com,,1,Roy,Rodgers,1
1,1,1,1,FrankRobinson@time.com,,1,Frank,Robinson,2
1,1,1,1,RichardHall@zimbio.com,,1,Richard,Hall,5
1,1,1,1,RossAllen@mlb.com,,1,Ross,Allen,2
1,1,1,1,JenniferHarman@gmail.com,,1,Jennifer,Harman,5
1,1,1,1,WendyRamos@gmail.com,,1,Wendy,Ramos,4
1,1,1,1,KellyWade@gmail.com,,1,Kelly,Wade,4
1,1,1,1,JudithRogers@lulu.com,,1,Judith,Rogers,2
1,1,1,1,TerrySimpson@time.com,,1,Terry,Simpson,4
1,1,1,1,JudyHarris@t.co,,1,Judy,Harris,3
1,1,1,1,AlanFreeman@t.co,,1,Alan,Freeman,1
1,1,1,1,LillianOliver@time.com,,1,Lillian,Oliver,2
1,1,1,1,ArthurFisher@lulu.com,,1,Arthur,Fisher,5
1,1,1,1,DonaldRamos@gmail.com,,1,Donald,Ramos,4
1,1,1,1,PatriciaOliver@lulu.com,,1,Patricia,Oliver,2
1,1,1,1,RachelLane@gmail.com,,1,Rachel,Lane,3
1,1,1,1,HaroldWeaver@time.com,,1,Harold,Weaver,3
1,1,1,1,LouiseStanley@lulu.com,,1,Louise,Stanley,1
1,1,1,1,ShirleyGraham@gmail.com,,1,Shirley,Graham,2
1,1,1,1,GeraldVasquez@gmail.com,,1,Gerald,Vasquez,5
1,1,1,1,CarolynPerkins@gmail.com,,1,Carolyn,Perkins,2
1,1,1,1,HelenPeters@intel.com,,1,Helen,Peters,5
1,1,1,1,RachelHowell@time.com,,1,Rachel,Howell,4
1,1,1,1,MariaWatkins@intel.com,,1,Maria,Watkins,4
1,1,1,1,JeanCastillo@gmail.com,,1,Jean,Castillo,2
1,1,1,1,StephenMedina@gmail.com,,1,Stephen,Medina,4
1,1,1,1,LawrenceGarrett@intel.com,,1,Lawrence,Garrett,3
1,1,1,1,SharonWatkins@time.com,,1,Sharon,Watkins,1
1,1,1,1,PhilipHernandez@adobe.com,,1,Philip,Hernandez,2
1,1,1,1,JoyceFuller@adobe.com,,1,Joyce,Fuller,5
1,1,1,1,WandaFord@gmail.com,,1,Wanda,Ford,4
1,1,1,1,BenjaminRyan@adobe.com,,1,Benjamin,Ryan,2
1,1,1,1,ChrisTucker@time.com,,1,Chris,Tucker,3
1,1,1,1,BobbyRamos@gmail.com,,1,Bobby,Ramos,3
1,1,1,1,JoanAnderson@parallels.com,,1,Joan,Anderson,1
1,1,1,1,AliceBerry@parallels.com,,1,Alice,Berry,2
1,1,1,1,JustinReyes@gmail.com,,1,Justin,Reyes,5
1,1,1,1,EvelynBurke@time.com,,1,Evelyn,Burke,2
1,1,1,1,GloriaGarrett@parallels.com,,1,Gloria,Garrett,5
1,1,1,1,AnnieMitchell@gmail.com,,1,Annie,Mitchell,4
1,1,1,1,FrancesGutierrez@lulu.com,,1,Frances,Gutierrez,4
1,1,1,1,PeterHayes@parallels.com,,1,Peter,Hayes,2
1,1,1,1,AnneRay@yandex.ru,,1,Anne,Ray,4
1,1,1,1,GeorgeMendoza@yandex.ru,,1,George,Mendoza,3
1,1,1,1,CynthiaWest@time.com,,1,Cynthia,West,1
1,1,1,1,HenryLawrence@yandex.ru,,1,Henry,Lawrence,2
1,1,1,1,JanetWright@samsung.com,,1,Janet,Wright,5
2,2,2,2,JerryM@gmail.com,,1,Jerry,Miller,3
2,2,2,2,RoyRodgers@mail.com,,1,Roy,Rodgers,1
2,2,2,2,FrankRobinson@time.com,,1,Frank,Robinson,2
2,2,2,2,RichardHall@zimbio.com,,1,Richard,Hall,5
2,2,2,2,RossAllen@mlb.com,,1,Ross,Allen,2
2,2,2,2,JenniferHarman@gmail.com,,1,Jennifer,Harman,5
2,2,2,2,WendyRamos@gmail.com,,1,Wendy,Ramos,4
2,2,2,2,KellyWade@gmail.com,,1,Kelly,Wade,4
2,2,2,2,JudithRogers@lulu.com,,1,Judith,Rogers,2
2,2,2,2,TerrySimpson@time.com,,1,Terry,Simpson,4
2,2,2,2,JudyHarris@t.co,,1,Judy,Harris,3
2,2,2,2,AlanFreeman@t.co,,1,Alan,Freeman,1
2,2,2,2,LillianOliver@time.com,,1,Lillian,Oliver,2
2,2,2,2,ArthurFisher@lulu.com,,1,Arthur,Fisher,5
2,2,2,2,DonaldRamos@gmail.com,,1,Donald,Ramos,4
2,2,2,2,PatriciaOliver@lulu.com,,1,Patricia,Oliver,2
2,2,2,2,RachelLane@gmail.com,,1,Rachel,Lane,3
2,2,2,2,HaroldWeaver@time.com,,1,Harold,Weaver,3
2,2,2,2,LouiseStanley@lulu.com,,1,Louise,Stanley,1
2,2,2,2,ShirleyGraham@gmail.com,,1,Shirley,Graham,2
2,2,2,2,GeraldVasquez@gmail.com,,1,Gerald,Vasquez,5
2,2,2,2,CarolynPerkins@gmail.com,,1,Carolyn,Perkins,2
2,2,2,2,HelenPeters@intel.com,,1,Helen,Peters,5
2,2,2,2,RachelHowell@time.com,,1,Rachel,Howell,4
2,2,2,2,MariaWatkins@intel.com,,1,Maria,Watkins,4
2,2,2,2,JeanCastillo@gmail.com,,1,Jean,Castillo,2
2,2,2,2,StephenMedina@gmail.com,,1,Stephen,Medina,4
2,2,2,2,LawrenceGarrett@intel.com,,1,Lawrence,Garrett,3
2,2,2,2,SharonWatkins@time.com,,1,Sharon,Watkins,1
2,2,2,2,PhilipHernandez@adobe.com,,1,Philip,Hernandez,2
2,2,2,2,JoyceFuller@adobe.com,,1,Joyce,Fuller,5
2,2,2,2,WandaFord@gmail.com,,1,Wanda,Ford,4
2,2,2,2,BenjaminRyan@adobe.com,,1,Benjamin,Ryan,2
2,2,2,2,ChrisTucker@time.com,,1,Chris,Tucker,3
2,2,2,2,BobbyRamos@gmail.com,,1,Bobby,Ramos,3
2,2,2,2,JoanAnderson@parallels.com,,1,Joan,Anderson,1
2,2,2,2,AliceBerry@parallels.com,,1,Alice,Berry,2
2,2,2,2,JustinReyes@gmail.com,,1,Justin,Reyes,5
2,2,2,2,EvelynBurke@time.com,,1,Evelyn,Burke,2
2,2,2,2,GloriaGarrett@parallels.com,,1,Gloria,Garrett,5
2,2,2,2,AnnieMitchell@gmail.com,,1,Annie,Mitchell,4
2,2,2,2,FrancesGutierrez@lulu.com,,1,Frances,Gutierrez,4
2,2,2,2,PeterHayes@parallels.com,,1,Peter,Hayes,2
2,2,2,2,AnneRay@yandex.ru,,1,Anne,Ray,4
2,2,2,2,GeorgeMendoza@yandex.ru,,1,George,Mendoza,3
2,2,2,2,CynthiaWest@time.com,,1,Cynthia,West,1
2,2,2,2,HenryLawrence@yandex.ru,,1,Henry,Lawrence,2
2,2,2,2,JanetWright@samsung.com,,1,Janet,Wright,5
