Uid,Website uid,Name,Value,User_identifier,Url,Title,Code
1,1, visit,1, id=guest; visitor-id=90, http://magento-oro.com/index.php?pk_campaign=second, Home page,sports
2,1,cart item added,1, id=guest; visitor-id=90, http://magento-oro.com/checkout/cart/, Shopping Cart,bestsellers
3,1,user entered checkout,1, id=119; email=fffff@fff.com; visitor-id=90, http://magento-oro.com/checkout/onepage/success/, Magento Commerce,sports
4,1, visit,1, id=guest; visitor-id=90, http://magento-oro.com/sony-vaio-vgn-txn27n-b-11-1-notebook-pc.html,Sony VAIO VGN-TXN27N/B 11.1" Notebook PC,mtv
5,1,user entered checkout,1, id=guest; visitor-id=90, http://magento-oro.com/checkout/onepage/, Checkout,bestsellers
6,1,user entered checkout,1, id=119; email=fffff@fff.com; visitor-id=90, http://magento-oro.com/checkout/onepage/success/, Magento Commerce,sports
7,1, visit,1, id=guest; visitor-id=90, http://magento-oro.com/electronics/cell-phones.html, Cell Phones - Electronics,mtv
8,1,user entered checkout,1, id=guest; visitor-id=90, http://magento-oro.com/checkout/onepage/, Checkout,sports
9,1, user logged out,1, id=guest; visitor-id=87, http://magento-oro.com/customer/account/logoutSuccess/, Magento Commerce,bestsellers
10,1, visit,1, id=guest; visitor-id=85, http://magento-oro.com/, Home page,sports
11,1, visit,1, id=guest; visitor-id=87, http://magento-oro.com/, Home page,sports
12,1, visit,1, id=guest; visitor-id=88, http://magento-oro.com/, Home page,rone
13,1, visit,1, id=guest; visitor-id=88, http://magento-oro.com/sony-vaio-vgn-txn27n-b-11-1-notebook-pc.html,Sony VAIO VGN-TXN27N/B 11.1",mtv
14,1, visit,1, id=guest; visitor-id=88, http://magento-oro.com/electronics.html, Electronics,mtv
15,1, visit,1, id=guest; visitor-id=88, http://magento-oro.com/apparel.html, Apparel,mtv
16,1, visit,1, id=guest; visitor-id=87, http://magento-oro.com/sony-vaio-vgn-txn27n-b-11-1-notebook-pc.html,Sony VAIO VGN-TXN27N/B 11.1" Notebook PC,bestsellers
17,1, visit,1, id=guest; visitor-id=88, http://magento-oro.com/apparel.html?cat=5, Apparel,mtv
18,1, visit,1, id=guest; visitor-id=87, http://magento-oro.com/electronics.html, Electronics,bestsellers
19,1, visit,1, id=guest; visitor-id=88, http://magento-oro.com/cn-clogs-beach-garden-clog.html, CN Clogs Beach/Garden Clog,mtv
20,1, visit,1, id=guest; visitor-id=87, http://magento-oro.com/apparel/shirts.html, Shirts - Apparel,mtv
21,1,cart item added,1, id=guest; visitor-id=88, http://magento-oro.com/checkout/cart/, Shopping Cart,mtv
22,1,cart item added,1, id=guest; visitor-id=88, http://magento-oro.com/checkout/cart/, Shopping Cart,mtv
23,1,user entered checkout,1, id=guest; visitor-id=88, http://magento-oro.com/checkout/onepage/, Checkout,sports
24,1, visit,1, id=guest; visitor-id=90, http://magento-oro.com/furniture.html, Furniture,mtv
25,1,user entered checkout,1, id=119; email=fffff@fff.com; visitor-id=90, http://magento-oro.com/checkout/onepage/success/, Magento Commerce,sports
26,1, visit,1, id=guest; visitor-id=85, http://magento-oro.com/, Home page,rone
27,1, visit,1, id=guest; visitor-id=85, http://magento-oro.com/electronics.html, Electronics,mtv
28,1, visit,1, id=guest; visitor-id=85, http://magento-oro.com/furniture.html, Furniture,mtv
29,1, visit,1, id=guest; visitor-id=85, http://magento-oro.com/furniture.html?price=2000-, Furniture,sports
30,1, visit,1, id=guest; visitor-id=85, http://magento-oro.com/barcelona-bamboo-platform-bed.html, Barcelona Bamboo Platform Bed,bestsellers
31,1, visit,1, id=guest; visitor-id=85, http://magento-oro.com/furniture.html, Furniture,sports
32,1,cart item added,1, id=guest; visitor-id=85, http://magento-oro.com/checkout/cart/, Shopping Cart,mtv
33,1,cart item added,1, id=guest; visitor-id=85, http://magento-oro.com/checkout/cart/, Shopping Cart,bestsellers
34,1,user entered checkout,1, id=guest; visitor-id=85, http://magento-oro.com/checkout/onepage/, Checkout,rone
35,1,user entered checkout,1, id=guest; visitor-id=85, http://magento-oro.com/checkout/onepage/, Checkout,rone
36,1,user entered checkout,1, id=112; email=qasd@local.com; visitor-id=85, http://magento-oro.com/checkout/onepage/success/, Magento Commerce,sports
37,1,user entered checkout,1, id=112; email=qasd@local.com; visitor-id=85, http://magento-oro.com/checkout/onepage/success/, Magento Commerce,rone
38,1,user entered checkout,1, id=112; email=qasd@local.com; visitor-id=85, http://magento-oro.com/checkout/onepage/success/, Magento Commerce,rone
39,1,user entered checkout,1, id=112; email=qasd@local.com; visitor-id=85, http://magento-oro.com/checkout/onepage/success/, Magento Commerce,rone
40,1, visit,1, id=112; email=qasd@local.com; visitor-id=85, http://magento-oro.com/, Home page,rone
41,1, visit,1, id=112; email=qasd@local.com; visitor-id=85, http://magento-oro.com/electronics.html, Electronics,sports
