Uid,Organization uid,User uid,Company,Contact uid,Channel uid
B2B:1,1,1,Life Plan Counselling,1,1
B2B:2,1,2,Big D Supermarkets,2,1
B2B:3,1,3,Cherry & Webb,3,1
B2B:4,1,4,National Lumber,4,1
B2B:5,1,5,Rainbow Bay Crafts,5,1
B2B:6,1,6,Jewel Mart,6,1
B2B:7,1,7,Rickel,7,1
B2B:8,1,8,Joshua Doore,8,1
B2B:9,1,9,Liberty Wealth Planner,9,1
B2B:10,1,10,Lazysize,10,1
B2B:11,1,11,Super Shops,11,1
B2B:12,1,12,Kinney Shoes,12,1
B2B:13,1,13,Boston Sea Party,13,1
B2B:14,1,14,Chandler's,14,1
B2B:15,1,15,Boston Sea Party,15,1
B2B:16,1,16,Dreamscape Garden Care,16,1
B2B:17,1,17,Happy Bear Investment,17,1
B2B:18,1,18,Pleasures and Pasttimes,18,1
B2B:19,1,19,Record & Tape Outlet,19,1
B2B:20,1,20,King Carol,20,1
B2B:21,1,21,Independent Wealth Management,21,1
B2B:22,1,22,Lazysize,22,1
B2B:23,1,23,Titania,23,1
B2B:24,1,24,Rolling Thunder,24,1
B2B:25,1,25,Olympic Sports,25,1
B2B:26,1,26,Maxaprofit,26,1
B2B:27,1,27,Wellby,27,1
B2B:28,1,28,Price Club,28,1
B2B:29,1,29,Star Bright Investment Group,29,1
B2B:30,1,30,Muscle Factory,30,1
B2B:31,1,31,Gas Legion,31,1
B2B:32,1,32,Megatronic Plus,32,1
B2B:33,1,33,DGS HomeSource,33,1
B2B:34,1,34,Honest Air Group,34,1
B2B:35,1,35,Cloth World,35,1
B2B:36,1,36,DGS VolMAX,36,1
B2B:37,1,37,Big Bear Stores,37,1
B2B:38,1,38,David Weis,38,1
B2B:39,1,39,Erb Lumber,39,1
B2B:40,1,40,Geri's Hamburgers,40,1
