Uid,Website uid,Name,Value,User_identifier,Url,Title,Code
1,1, visit,1, id=guest; visitor-id=90, http://b2b-oro.com/index.php?pk_campaign=second, Home page,home
2,1, visit,1, id=guest; visitor-id=90, http://b2b-oro.com/checkout/cart/, Shopping Cart,cart
3,1, registration,1, id=119; email=fffff@fff.com; visitor-id=90, http://b2b-oro.com/checkout/onepage/success/, b2b Commerce,commerce
4,1, visit,1, id=guest; visitor-id=90, http://b2b-oro.com/sony-vaio-vgn-txn27n-b-11-1-notebook-pc.html," Sony VAIO VGN-TXN27N/B 11.1"" Notebook PC",product
5,1, visit,1, id=guest; visitor-id=90, http://b2b-oro.com/checkout/onepage/, Checkout,checkout
6,1, order placed,1, id=119; email=fffff@fff.com; visitor-id=90, http://b2b-oro.com/checkout/onepage/success/, b2b Commerce,commerce
7,1, visit,1, id=guest; visitor-id=90, http://b2b-oro.com/electronics/cell-phones.html, Cell Phones - Electronics,product
8,1, user entered checkout,1, id=guest; visitor-id=90, http://b2b-oro.com/checkout/onepage/, Checkout,checkout
9,1, visit,1, id=guest; visitor-id=87, http://b2b-oro.com/customer/account/logoutSuccess/, b2b Commerce,commerce
10,1, visit,1, id=guest; visitor-id=85, http://b2b-oro.com/, Home page,home
11,1, visit,1, id=guest; visitor-id=87, http://b2b-oro.com/, Home page,home
12,1, visit,1, id=guest; visitor-id=88, http://b2b-oro.com/, Home page,home
13,1, visit,1, id=guest; visitor-id=88, http://b2b-oro.com/sony-vaio-vgn-txn27n-b-11-1-notebook-pc.html," Sony VAIO VGN-TXN27N/B 11.1""",product
14,1, visit,1, id=guest; visitor-id=88, http://b2b-oro.com/electronics.html, Electronics,category
15,1, visit,1, id=guest; visitor-id=88, http://b2b-oro.com/apparel.html, Apparel,category
16,1, visit,1, id=guest; visitor-id=87, http://b2b-oro.com/sony-vaio-vgn-txn27n-b-11-1-notebook-pc.html," Sony VAIO VGN-TXN27N/B 11.1"" Notebook PC",product
17,1, visit,1, id=guest; visitor-id=88, http://b2b-oro.com/apparel.html?cat=5, Apparel,category
18,1, visit,1, id=guest; visitor-id=87, http://b2b-oro.com/electronics.html, Electronics,category
19,1, visit,1, id=guest; visitor-id=88, http://b2b-oro.com/cn-clogs-beach-garden-clog.html, CN Clogs Beach/Garden Clog,product
20,1, visit,1, id=guest; visitor-id=87, http://b2b-oro.com/apparel/shirts.html, Shirts - Apparel,category
21,1, visit,1, id=guest; visitor-id=88, http://b2b-oro.com/checkout/cart/, Shopping Cart,cart
22,1, cart item added,1, id=guest; visitor-id=88, http://b2b-oro.com/checkout/cart/, Shopping Cart,cart
23,1, user entered checkout,1, id=guest; visitor-id=88, http://b2b-oro.com/checkout/onepage/, Checkout,checkout
24,1, visit,1, id=guest; visitor-id=90, http://b2b-oro.com/furniture.html, Furniture,category
25,1, visit,1, id=119; email=fffff@fff.com; visitor-id=90, http://b2b-oro.com/checkout/onepage/success/, b2b Commerce,commerce
26,1, visit,1, id=guest; visitor-id=85, http://b2b-oro.com/, Home page,home
27,1, visit,1, id=guest; visitor-id=85, http://b2b-oro.com/electronics.html, Electronics,category
28,1, visit,1, id=guest; visitor-id=85, http://b2b-oro.com/furniture.html, Furniture,category
29,1, visit,1, id=guest; visitor-id=85, http://b2b-oro.com/furniture.html?price=2000-, Furniture,category
30,1, visit,1, id=guest; visitor-id=85, http://b2b-oro.com/barcelona-bamboo-platform-bed.html, Barcelona Bamboo Platform Bed,category
31,1, visit,1, id=guest; visitor-id=85, http://b2b-oro.com/furniture.html, Furniture,category
32,1, cart item added,1, id=guest; visitor-id=85, http://b2b-oro.com/checkout/cart/, Shopping Cart,cart
33,1, visit,1, id=guest; visitor-id=85, http://b2b-oro.com/checkout/cart/, Shopping Cart,cart
34,1, user entered checkout,1, id=guest; visitor-id=85, http://b2b-oro.com/checkout/onepage/, Checkout,checkout
35,1, visit,1, id=guest; visitor-id=85, http://b2b-oro.com/checkout/onepage/, Checkout,checkout
36,1, registration,1, id=112; email=qasd@local.com; visitor-id=85, http://b2b-oro.com/checkout/onepage/success/, b2b Commerce,commerce
37,1, user logged in,1, id=112; email=qasd@local.com; visitor-id=85, http://b2b-oro.com/checkout/onepage/success/, b2b Commerce,commerce
38,1, order placed,1, id=112; email=qasd@local.com; visitor-id=85, http://b2b-oro.com/checkout/onepage/success/, b2b Commerce,commerce
39,1, visit,1, id=112; email=qasd@local.com; visitor-id=85, http://b2b-oro.com/checkout/onepage/success/, b2b Commerce,commerce
40,1, visit,1, id=112; email=qasd@local.com; visitor-id=85, http://b2b-oro.com/, Home page,home
41,1, visit,1, id=112; email=qasd@local.com; visitor-id=85, http://b2b-oro.com/electronics.html, Electronics,category
42,1, visit,1, id=112; email=qasd@local.com; visitor-id=85, http://b2b-oro.com/electronics/cell-phones.html?manufacturer=2, Cell Phones - Electronics,category
43,1, visit,1, id=112; email=qasd@local.com; visitor-id=85, http://b2b-oro.com/furniture.html, Furniture,category
44,1, visit,1, id=112; email=qasd@local.com; visitor-id=85, http://b2b-oro.com/apparel.html, Apparel,category
45,1, visit,1, id=112; email=qasd@local.com; visitor-id=85, http://b2b-oro.com/electronics.html, Electronics,category
46,1, visit,1, id=guest; visitor-id=86, http://b2b-oro.com/electronics.html, Electronics,category
