Uid,Customer uid,Email
1,B2B:1,JerryMiller@ask.com
2,B2B:2,JerryM@gmail.com
3,B2B:3,RoyRodgers@mail.com
4,B2B:4,FrankRobinson@time.com
5,B2B:5,RichardHall@zimbio.com
6,B2B:6,RossAllen@mlb.com
7,B2B:7,JenniferHarman@gmail.com
8,B2B:8,WendyRamos@gmail.com
9,B2B:9,KellyWade@gmail.com
10,B2B:10,JudithRogers@lulu.com
11,B2B:11,TerrySimpson@time.com
12,B2B:12,JudyHarris@t.co
13,B2B:13,AlanFreeman@t.co
14,B2B:14,LillianOliver@time.com
15,B2B:15,ArthurFisher@lulu.com
16,B2B:16,DonaldRamos@gmail.com
17,B2B:17,PatriciaOliver@lulu.com
18,B2B:18,RachelLane@gmail.com
19,B2B:19,HaroldWeaver@time.com
20,B2B:20,LouiseStanley@lulu.com
21,B2B:21,ShirleyGraham@gmail.com
22,B2B:22,GeraldVasquez@gmail.com
23,B2B:23,CarolynPerkins@gmail.com
24,B2B:24,HelenPeters@intel.com
25,B2B:25,RachelHowell@time.com
26,B2B:26,MariaWatkins@intel.com
27,B2B:27,JeanCastillo@gmail.com
28,B2B:28,StephenMedina@gmail.com
29,B2B:29,LawrenceGarrett@intel.com
30,B2B:30,SharonWatkins@time.com
31,B2B:31,PhilipHernandez@adobe.com
32,B2B:32,JoyceFuller@adobe.com
33,B2B:33,WandaFord@gmail.com
34,B2B:34,BenjaminRyan@adobe.com
35,B2B:35,ChrisTucker@time.com
36,B2B:36,BobbyRamos@gmail.com
37,B2B:37,JoanAnderson@parallels.com
38,B2B:38,AliceBerry@parallels.com
39,B2B:39,JustinReyes@gmail.com
40,B2B:40,EvelynBurke@time.com
41,B2B:41,GloriaGarrett@parallels.com
42,B2B:42,AnnieMitchell@gmail.com
43,B2B:43,FrancesGutierrez@lulu.com
44,B2B:44,PeterHayes@parallels.com
45,B2B:45,AnneRay@yandex.ru
46,B2B:46,GeorgeMendoza@yandex.ru
47,B2B:47,CynthiaWest@time.com
48,B2B:48,HenryLawrence@yandex.ru
49,B2B:49,JanetWright@samsung.com
50,B2B:50,WillieChavez@gmail.com
51,B2B:51,AngelaJames@samsung.com
52,B2B:52,AshleyStone@time.com
53,B2B:53,BillyHansen@samsung.com
54,B2B:54,AdamSanders@answers.com
55,B2B:55,RussellHoward@answers.com
56,B2B:56,CraigBishop@answers.com
57,B2B:57,TeresaRamos@gmail.com
58,B2B:58,SamuelGray@time.com
59,B2B:59,JamesWatson@gmail.com
60,B2B:60,RichardSchmidt@t.co
61,B2B:61,DonaldCooper@t.co
62,B2B:62,SusanHawkins@gmail.com
63,B2B:63,ArthurCook@gmail.com
64,B2B:64,JoseBurton@time.com
65,B2B:65,RuthBarnes@gmail.com
66,B2B:66,KathyPerez@t.co
67,B2B:67,SamMoody@gmail.com
68,B2B:68,Tom Stephens@gmail.com
69,B2B:69,ChristopherWatts@gmail.com
70,B2B:70,AndyMckenzie@gmail.com
71,B2B:71,Miguel Miller@gmail.com
72,B2B:72,ClaytonAdams@gmail.com
73,B2B:73,Bennie Cortez@gmail.com
74,B2B:74,ShermanAlvarado@gmail.com
75,B2B:75,CoryZimmerman@gmail.com
76,B2B:76,MelvinKeller@gmail.com
77,B2B:77,LeroyJoseph@gmail.com
78,B2B:78,RandalLittle@gmail.com
79,B2B:79,LynnSwanson@gmail.com
80,B2B:80,TerryHarvey@gmail.com
81,B2B:81,EmanuelLopez@gmail.com
82,B2B:82,JorgePowell@gmail.com
83,B2B:83,JanetHoffman@gmail.com
84,B2B:84,FrankieBeck@gmail.com
85,B2B:85,Cecil White@gmail.com
86,B2B:86,IvanBarton@gmail.com
87,B2B:87,RudolphMclaughlin@gmail.com
88,B2B:88,BryanDelgado@gmail.com
89,B2B:89,ColinWoods@gmail.com
90,B2B:90,GordonMoran@gmail.com
91,B2B:91,ArnoldCaldwell@gmail.com
92,B2B:92,RoderickStrickland@gmail.com
93,B2B:93,JonFloyd@gmail.com
94,B2B:94,JamesMoreno@gmail.com
95,B2B:95,CamilleGutierrez@gmail.com
96,B2B:96,AlisonWhite@gmail.com
97,B2B:97,GwendolynHowell@gmail.com
98,B2B:98,KristenRiley@gmail.com
99,B2B:99,SusiePerry@gmail.com
100,B2B:100,MelanieWilliamson@gmail.com
101,B2B:101,PaulineWatkins@gmail.com
102,B2B:102,AngieMccarthy@gmail.com
103,B2B:103,AmberGibbs@gmail.com
104,B2B:104,KelleyBrewer@gmail.com
105,B2B:105,RobertaGriffin@gmail.com
106,B2B:106,LynetteFernandez@gmail.com
107,B2B:107,AliceLove@gmail.com
108,B2B:108,HattieAndrews@gmail.com
109,B2B:109,LeighWarner@gmail.com
110,B2B:110,LoisSilva@gmail.com
111,B2B:111,EstelleValdez@gmail.com
112,B2B:112,JaimeKennedy@gmail.com
113,B2B:113,ViolaMccoy@gmail.com
114,B2B:114,ShannonPena@gmail.com
115,B2B:115,MarthaJimenez@gmail.com
116,B2B:116,MarieErickson@gmail.com
117,B2B:117,AnneCastro@gmail.com
118,B2B:118,PearlTerry@gmail.com
119,B2B:119,ElizabethKelley@gmail.com
120,B2B:120,JuanitaRobinson@gmail.com
