Uid,Customer uid,Phone
1,B2B:1,517-782-7343
2,B2B:2,808-572-3324
3,B2B:3,410-794-7279
4,B2B:4,518-441-4708
5,B2B:5,804-477-5590
6,B2B:6,707-348-9487
7,B2B:7,707-947-4901
8,B2B:8,912-342-9593
9,B2B:9,928-862-3347
10,B2B:10,608-743-3485
11,B2B:11,979-234-6303
12,B2B:12,845-508-9364
13,B2B:13,330-668-8830
14,B2B:14,308-366-0524
15,B2B:15,410-313-0414
16,B2B:16,610-826-6577
17,B2B:17,860-677-3172
18,B2B:18,740-597-5172
19,B2B:19,650-733-4527
20,B2B:20,615-578-0662
21,B2B:21,678-557-7183
22,B2B:22,770-992-5718
23,B2B:23,978-423-5919
24,B2B:24,646-602-2074
25,B2B:25,906-774-7957
26,B2B:26,610-453-4749
27,B2B:27,469-446-1959
28,B2B:28,507-263-9822
29,B2B:29,315-791-1273
30,B2B:30,786-217-4707
31,B2B:31,919-628-3623
32,B2B:32,919-918-1714
33,B2B:33,910-770-9457
34,B2B:34,708-326-3396
35,B2B:35,252-200-2298
36,B2B:36,217-401-8159
37,B2B:37,517-677-0691
38,B2B:38,985-509-3817
39,B2B:39,518-348-5353
40,B2B:40,248-664-3142
41,B2B:41,509-967-5559
42,B2B:42,417-938-3029
43,B2B:43,818-646-6121
44,B2B:44,701-240-4787
45,B2B:45,317-722-4218
46,B2B:46,937-455-2486
47,B2B:47,731-415-7808
48,B2B:48,425-675-2248
49,B2B:49,480-726-7173
50,B2B:50,917-541-1762
51,B2B:51,217-417-9298
52,B2B:52,586-755-0517
53,B2B:53,419-468-8316
54,B2B:54,517-927-8422
55,B2B:55,906-406-2616
56,B2B:56,419-832-3233
57,B2B:57,330-768-4737
58,B2B:58,281-623-5140
59,B2B:59,305-459-6683
60,B2B:60,443-507-6224
61,B2B:61,615-535-9149
62,B2B:62,715-592-4801
63,B2B:63,229-505-3624
64,B2B:64,513-200-0509
65,B2B:65,520-483-6772
66,B2B:66,919-688-1425
67,B2B:67,708-614-8639
68,B2B:68,505-979-1343
69,B2B:69,408-561-6870
70,B2B:70,786-351-6268
71,B2B:71,209-817-1435
72,B2B:72,409-971-7396
73,B2B:73,678-578-0870
74,B2B:74,401-828-2067
75,B2B:75,813-425-5248
76,B2B:76,818-876-3647
77,B2B:77,508-420-7533
78,B2B:78,940-391-8042
79,B2B:79,307-868-1270
80,B2B:80,630-242-4645
81,B2B:81,913-644-7299
82,B2B:82,208-674-6632
83,B2B:83,661-695-4146
84,B2B:84,919-410-4924
85,B2B:85,815-399-3013
86,B2B:86,660-675-0640
87,B2B:87,305-710-3927
88,B2B:88,202-829-9187
89,B2B:89,605-694-4291
90,B2B:90,859-881-5712
91,B2B:91,215-800-7828
92,B2B:92,760-928-5373
93,B2B:93,772-425-8759
94,B2B:94,910-827-9945
95,B2B:95,810-664-5574
96,B2B:96,914-310-3462
97,B2B:97,912-554-2528
98,B2B:98,952-808-3280
99,B2B:99,843-477-4776
100,B2B:100,510-761-0833
101,B2B:101,
102,B2B:102,
103,B2B:103,697-435-5141
104,B2B:104,407-460-1629
105,B2B:105,
106,B2B:106,757-698-4022
107,B2B:107,937-820-4202
108,B2B:108,486-295-1847
109,B2B:109,943-275-828
110,B2B:110,934-752-4179
111,B2B:111,778-295-7090
112,B2B:112,477-180-7014
113,B2B:113,
114,B2B:114,280-279-6497
115,B2B:115,217-380-627
116,B2B:116,438-622-4506
117,B2B:117,378-636-5970
118,B2B:118,516-119-1736
119,B2B:119,785-90-8884
120,B2B:120,541-584-3091
121,B2B:121,808-621-7779
122,B2B:122,284-350-5352
123,B2B:123,48-175-4833
