Uid,Organization uid,User uid,Company,Contact uid,Channel uid
B2B:1,2,main,Rose Schmidt,70,1
B2B:2,2,main,Dorothy Thompson,71,1
B2B:3,2,main,Stephanie Romero,72,1
B2B:4,2,54,Maria Parker,73,1
B2B:5,2,55,Freshtax,73,1
B2B:6,2,56,Doris Miller,74,1
B2B:7,2,57,Virginia Gibson,75,1
B2B:8,2,58,Cherry & Webb,75,1
B2B:9,2,59,Wanda Carpenter,76,1
B2B:10,2,60,Nicole Collins,77,1
B2B:11,2,61,National Lumber,77,1
B2B:12,2,62,Wanda Martinez,78,1
B2B:13,2,63,Sharon Austin,79,1
B2B:14,2,64,Demimbu,79,1
B2B:15,2,65,Kelly Hamilton,80,1
B2B:16,2,66,Kelly Stanley,81,1
B2B:17,2,67,Teresa Hansen,82,1
B2B:18,2,68,Melissa West,83,1
B2B:19,2,69,Dorothy Cunningham,84,1
B2B:20,2,70,Realcube,84,1
B2B:21,2,71,Doris Burns,85,1
B2B:22,2,72,Ann Henry,86,1
B2B:23,2,73,Wordware,86,1
B2B:24,2,74,Lori Watkins,87,1
B2B:25,2,75,Catherine Parker,88,1
B2B:26,2,76,Fivechat,88,1
B2B:27,2,77,Martha Gonzalez,89,1
B2B:28,2,78,Dorothy Harris,90,1
B2B:29,2,79,Christine Edwards,91,1
B2B:30,2,80,Susan Morales,92,1
B2B:31,2,81,Sara Fernandez,93,1
B2B:32,2,82,Annie Alexander,94,1
B2B:33,2,83,Patricia Young,95,1
B2B:34,2,84,Louise Spencer,96,1
B2B:35,2,85,Melissa White,97,1
B2B:36,2,86,Andrea Hansen,98,1
B2B:37,2,87,Carolyn Jackson,99,1
B2B:38,2,88,Carol Clark,100,1
B2B:39,2,89,Paul Martin,101,1
B2B:40,2,90,Arthur Ruiz,102,1
B2B:41,2,main,Anthony Crawford,103,1
B2B:42,2,main,Clarence Patterson,104,1
B2B:43,2,main,Steven Kelley,105,1
B2B:44,2,54,Paul Moreno,106,1
B2B:45,2,55,Martin Knight,107,1
B2B:46,2,56,Aaron Nguyen,108,1
B2B:47,2,57,Larry Burke,109,1
B2B:48,2,58,Ronald King,110,1
B2B:49,2,59,Adam Davis,111,1
B2B:50,2,60,Louis Welch,112,1
B2B:51,2,61,Johnny Griffin,113,1
B2B:52,2,62,Paul Ford,114,1
B2B:53,2,63,Dennis Nguyen,115,1
B2B:54,2,64,Nicholas King,116,1
B2B:55,2,65,Frank Robertson,117,1
B2B:56,2,66,Justin Ross,118,1
B2B:57,2,67,Walter Reyes,119,1
B2B:58,2,68,Dennis Kennedy,120,1
B2B:59,2,69,Donald Myers,121,1
B2B:60,2,70,Peter Wallace,122,1
B2B:61,2,71,Lawrence Greene,123,1
B2B:62,2,72,Steven Peterson,124,1
B2B:63,2,73,Gerald Willis,125,1
B2B:64,2,74,Peter Morrison,126,1
B2B:65,2,75,Carlos Smith,127,1
B2B:66,2,76,Billy Morris,128,1
B2B:67,2,77,Samuel Ramos,129,1
B2B:68,2,78,Paul Snyder,130,1
B2B:69,2,79,Scott Lopez,131,1
B2B:70,2,80,Henry Lawson,132,1
B2B:71,2,81,Howard Ray,133,1
B2B:72,2,82,Terry Johnston,134,1
B2B:73,2,83,Justin Stevens,135,1
B2B:74,2,84,Sam Moody,136,1
B2B:75,2,85,Tom  Stephens,137,1
B2B:76,2,86,Christopher Watts,138,1
B2B:77,2,87,Andy Mckenzie,139,1
B2B:78,2,88,Miguel  Miller,140,1
B2B:79,2,89,Clayton Adams,141,1
B2B:80,2,90,Bennie  Cortez,142,1
B2B:81,2,main,Sherman Alvarado,143,1
B2B:82,2,main,Cory Zimmerman,144,1
B2B:83,2,main,Melvin Keller,145,1
B2B:84,2,54,Leroy Joseph,146,1
B2B:85,2,55,Randal Little,147,1
B2B:86,2,56,Lynn Swanson,148,1
B2B:87,2,57,Terry Harvey,149,1
B2B:88,2,58,Emanuel Lopez,150,1
